Treatment,target,botton_score,max,min,range,mean,std,median,non_zero_per_row
Brevis,0.75,0.0354,11.02,8.73,2.29,9.3525,1.1151,8.83,4
Brevis,0.8,0.3523,9.13,5.77,3.36,7.474,1.1905,7.45,5
Brevis,1.0,0.5509,7.78,4.41,3.37,6.095,1.0933,6.155,6
Brevis,0.33,0.1321,13.6,9.18,4.42,11.745,1.5183,11.99,6
Brevis,0.5,0.2177,10.23,6.95,3.28,8.68,1.0732,8.76,6
Brevis,0.8,0.3344,11.38,7.33,4.05,9.012,1.6528,8.77,5
Brevis,1.0,0.1552,10.19,7.32,2.87,9.014,1.0601,9.31,5
UTC,0.6,0.0248,23.45,19.94,3.51,21.616,1.4883,22.15,5
UTC,1.0,0.3043,9.62,5.92,3.7,8.074,1.3573,8.15,5
UTC,1.0,0.1136,9.2,7.11,2.09,8.0033,0.8622,7.84,6
UTC,0.5,0.1889,12.22,8.62,3.6,10.2,1.5234,9.98,4
UTC,0.25,0.1439,10.78,8.18,2.6,9.2775,1.1115,9.075,4
UTC,1.0,0.0396,10.0,8.64,1.36,9.1075,0.613,8.895,4
UTC,0.33,0.0906,10.29,7.46,2.83,8.9767,1.1652,9.17,6
UTC,0.8,0.5233,9.31,5.25,4.06,7.232,1.6352,7.72,5
UTC,0.5,0.2186,9.51,6.84,2.67,7.995,0.877,7.88,6
UTC,0.5,0.9984,8.08,3.66,4.42,5.6733,1.4752,5.43,6
UTC,0.5,0.3629,7.48,5.16,2.32,5.8417,0.8507,5.615,6
UTC,1.0,1.1344,9.49,2.82,6.67,6.464,2.5289,7.12,5
UTC,1.0,0.3738,9.32,6.06,3.26,7.48,1.1752,7.525,6
UTC,0.5,0.1546,7.34,5.46,1.88,6.0875,0.8503,5.775,4
UTC,0.5,0.1334,9.26,7.24,2.02,8.0267,0.6888,7.99,6
UTC,0.6,0.3746,9.88,6.32,3.56,7.892,1.3604,7.91,5
UTC,0.6,0.2011,8.78,5.65,3.13,7.442,1.2509,7.64,5
UTC,0.67,0.244,8.24,5.91,2.33,7.0367,0.837,7.01,6
UTC,0.25,0.0573,10.27,7.75,2.52,8.4975,1.1872,7.985,4
UTC,0.5,0.2429,8.63,6.02,2.61,7.1625,1.082,7.0,4
UTC,0.6,0.1286,9.06,6.85,2.21,8.082,0.8268,8.07,5
UTC,0.6,0.2135,10.19,7.31,2.88,8.55,1.2425,8.51,5
UTC,0.4,0.1166,10.06,7.94,2.12,8.956,0.8123,9.16,5
UTC,0.5,0.1273,10.91,8.36,2.55,9.585,0.8984,9.605,6
UTC,0.6,0.2183,9.26,6.52,2.74,7.612,1.0037,7.41,5
UTC,1.0,0.0723,9.6,8.15,1.45,8.742,0.5827,8.45,5
UTC,0.2,0.1992,10.29,7.21,3.08,8.866,1.1191,8.82,5
UTC,0.4,0.2625,10.68,7.3,3.38,8.654,1.2567,8.25,5
UTC,0.8,0.1784,9.15,6.71,2.44,7.962,0.9356,8.01,5
UTC,0.5,0.1543,8.84,6.74,2.1,7.7825,0.8575,7.775,4
UTC,0.8,0.0053,8.99,7.34,1.65,8.354,0.8174,8.88,5
